Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,130,267,238,250,314,385,182,70,231,86,50,36,27
Expenses+,128,261,236,237,272,343,149,61,188,76,88,70,57
Operating Profit,3,7,2,13,42,42,33,9,42,10,-38,-35,-30
OPM %,2%,3%,1%,5%,13%,11%,18%,12%,18%,11%,-75%,-97%,-109%
Other Income+,1,0,3,1,2,-18,-15,0,5,0,-12,-15,-25
Interest,1,3,3,1,2,4,3,4,6,10,6,6,6
Depreciation,0,1,1,0,0,0,0,0,0,0,0,0,0
Profit before tax,2,3,2,13,42,20,14,4,40,0,-56,-57,-61
Tax %,12%,11%,17%,7%,17%,71%,15%,68%,32%,"-1,475%",-13%,-16%,
Net Profit+,2,2,2,12,35,6,12,1,27,3,-48,-47,-51
EPS in Rs,0.30,0.22,0.17,1.04,2.69,0.36,0.94,0.14,2.26,0.21,-3.99,-3.90,-4.18
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
