Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,90,115,104,109,150,134,136,225,331,339,500,584,528
Expenses+,65,81,82,85,122,100,103,161,222,219,297,341,300
Operating Profit,25,33,22,25,28,34,33,63,109,120,204,243,228
OPM %,27%,29%,21%,23%,19%,25%,24%,28%,33%,35%,41%,42%,43%
Other Income+,1,-0,0,1,7,0,0,0,0,0,0,0,0
Interest,14,19,14,15,19,13,18,19,35,33,56,61,60
Depreciation,1,4,2,2,3,1,2,1,2,3,4,4,4
Profit before tax,10,10,5,9,13,20,13,43,72,85,144,179,164
Tax %,15%,3%,32%,33%,23%,14%,8%,20%,23%,22%,25%,27%,
Net Profit+,8,9,4,6,10,17,12,34,55,66,108,131,118
EPS in Rs,0.77,0.86,0.33,0.54,0.92,1.53,1.13,3.16,5.07,6.06,9.93,11.69,10.28
Dividend Payout %,13%,0%,0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,
