Metric,Mar 2014,Jun 201515m,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,-0,278,292,349,466,321,143,0,-0,-0,268,274,333
Expenses+,15,253,258,310,411,308,151,29,31,25,271,303,345
Operating Profit,-15,25,34,39,55,13,-8,-29,-31,-25,-3,-29,-11
OPM %,,9%,12%,11%,12%,4%,-5%,"-29,240%",,,-1%,-11%,-3%
Other Income+,3,-36,3,2,45,-38,1,1,-1,972,23,1,-3
Interest,8,62,74,105,127,108,122,130,158,16,71,75,80
Depreciation,2,25,30,40,45,47,48,48,47,47,56,72,71
Profit before tax,-22,-99,-67,-104,-72,-181,-177,-205,-236,884,-107,-175,-165
Tax %,253%,-0%,-1%,-1%,-1%,-0%,-5%,-0%,-0%,-7%,-39%,-13%,
Net Profit+,-78,-99,-67,-103,-71,-180,-168,-205,-236,950,-66,-152,-165
EPS in Rs,-2.66,-3.37,-2.28,-3.51,-2.42,-6.14,-5.73,-6.99,-8.05,103.03,-7.12,-16.50,-17.91
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
