Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,541,631,673,702,768,816,849,939,"1,156","1,246",989,794,805
Expenses+,490,560,584,606,665,725,756,866,"1,054","1,111",890,706,725
Operating Profit,52,70,88,96,103,91,93,73,103,135,99,88,80
OPM %,10%,11%,13%,14%,13%,11%,11%,8%,9%,11%,10%,11%,10%
Other Income+,-5,11,11,16,15,14,20,15,17,2,45,42,41
Interest,0,1,1,1,1,1,1,1,1,1,1,1,0
Depreciation,18,21,24,23,23,21,22,20,19,21,20,22,22
Profit before tax,29,59,75,88,94,83,90,66,100,115,124,108,99
Tax %,35%,34%,35%,34%,35%,35%,26%,26%,26%,26%,25%,26%,
Net Profit+,19,39,49,58,61,54,67,49,75,85,92,80,73
EPS in Rs,18.52,38.08,48.14,56.96,60.54,53.39,65.58,47.98,73.48,83.89,90.91,78.81,72.24
Dividend Payout %,22%,16%,12%,13%,15%,19%,19%,21%,20%,20%,19%,27%,
