Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,29,27,26,32,178,26,39,28,49,44,51,55,60
Expenses+,1,2,3,4,5,5,5,6,7,7,11,12,12
Operating Profit,27,25,23,29,174,21,34,22,42,37,40,43,48
OPM %,95%,94%,89%,89%,97%,81%,87%,78%,86%,85%,79%,78%,80%
Other Income+,1,2,1,1,1,4,7,5,1,6,3,2,2
Interest,13,10,8,6,4,0,0,0,1,4,0,0,0
Depreciation,0,1,0,0,0,0,0,0,1,2,2,3,3
Profit before tax,15,16,15,23,171,25,40,27,41,38,41,42,48
Tax %,17%,21%,11%,15%,20%,18%,11%,23%,19%,24%,27%,25%,
Net Profit+,12,12,13,19,136,20,36,21,33,29,30,31,36
EPS in Rs,11.22,11.59,12.61,17.97,127.69,18.87,33.22,19.16,31.15,26.50,27.77,29.19,33.37
Dividend Payout %,11%,11%,10%,8%,1%,8%,8%,13%,8%,9%,9%,9%,
