Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,414,558,622,642,711,748,721,548,694,799,778,"1,029","1,183"
Expenses+,377,508,569,598,661,688,661,521,684,712,700,928,"1,086"
Operating Profit,37,50,53,44,49,60,60,28,10,87,78,101,98
OPM %,9%,9%,9%,7%,7%,8%,8%,5%,1%,11%,10%,10%,8%
Other Income+,4,-1,-2,6,7,13,4,5,32,52,7,6,18
Interest,16,13,13,18,23,35,29,28,29,45,52,56,48
Depreciation,4,6,6,6,7,8,10,10,24,25,26,26,26
Profit before tax,21,30,32,26,26,29,26,-6,-11,68,7,25,42
Tax %,31%,28%,29%,31%,33%,33%,17%,5%,49%,9%,97%,37%,
Net Profit+,15,21,25,18,17,20,21,-6,-17,63,0,16,29
EPS in Rs,13.12,18.73,21.09,15.37,14.34,16.23,17.43,-5.04,-13.54,51.29,0.18,12.06,21.95
Dividend Payout %,8%,5%,6%,8%,8%,7%,-0%,-0%,-0%,-0%,-0%,-0%,
