Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,957,"1,007","1,246","1,315","1,572","1,636","2,072","2,657","2,711","2,569","2,524","2,472"
Expenses+,875,908,"1,083","1,151","1,388","1,406","1,708","2,241","2,461","2,261","2,362","2,320"
Operating Profit,82,100,163,164,184,230,364,416,250,307,162,152
OPM %,9%,10%,13%,12%,12%,14%,18%,16%,9%,12%,6%,6%
Other Income+,2,0,2,5,7,6,15,5,9,34,13,12
Interest,37,34,36,36,36,33,21,14,11,6,10,16
Depreciation,29,30,33,38,44,52,59,70,83,91,107,117
Profit before tax,18,37,96,95,111,151,299,337,165,244,59,31
Tax %,12%,20%,23%,24%,26%,25%,26%,26%,26%,25%,27%,
Net Profit+,16,30,74,73,82,113,222,249,121,182,43,23
EPS in Rs,3.27,6.15,16.48,8.08,9.12,10.23,20.16,22.56,10.98,16.51,3.90,2.10
Dividend Payout %,0%,0%,0%,0%,0%,10%,17%,16%,0%,6%,13%,
