Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,251,373,358,434,512,395,311,96,39
Expenses+,219,320,322,403,484,412,309,130,64
Operating Profit,32,53,36,32,28,-18,2,-34,-25
OPM %,13%,14%,10%,7%,5%,-4%,1%,-35%,-64%
Other Income+,1,1,1,2,1,1,1,0,0
Interest,10,11,11,11,10,11,11,12,13
Depreciation,4,5,6,7,7,7,7,7,7
Profit before tax,19,38,20,16,12,-35,-16,-53,-44
Tax %,-10%,28%,33%,34%,34%,-31%,-28%,8%,
Net Profit+,21,28,13,10,8,-24,-11,-57,-52
EPS in Rs,4.48,5.94,2.85,2.20,1.74,-5.15,-2.41,-12.20,-11.28
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
