Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,958","3,431","1,850","1,730","1,911","1,337","1,716",548,533,406,477,322,352
Expenses+,"2,760","2,525","2,560","1,971","1,956","1,534","2,182",635,561,432,"1,241",734,108
Operating Profit,198,906,-710,-241,-46,-197,-466,-87,-27,-27,-764,-412,244
OPM %,7%,26%,-38%,-14%,-2%,-15%,-27%,-16%,-5%,-7%,-160%,-128%,69%
Other Income+,40,-712,111,38,-938,-40,-294,-317,64,86,38,75,78
Interest,85,199,328,312,328,591,765,897,"1,011","3,167","3,091","2,688","2,878"
Depreciation,50,46,17,12,9,6,7,7,6,6,6,4,3
Profit before tax,103,-51,-944,-528,"-1,320",-834,"-1,531","-1,308",-981,"-3,114","-3,823","-3,029","-2,560"
Tax %,55%,220%,-7%,-17%,-1%,-5%,3%,19%,1%,-0%,-0%,5%,
Net Profit+,46,-162,-880,-427,"-1,306",-794,"-1,583","-1,608","-1,026","-3,103","-3,807","-3,178","-2,711"
EPS in Rs,0.27,-0.49,-3.44,-1.54,-4.83,-3.02,-5.97,-6.09,-3.87,-10.65,-12.72,-9.91,-8.06
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
