Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,823","1,777","2,233","2,584","3,352","2,892","3,484","2,158","1,904","2,460","2,169","1,957","1,974"
Expenses+,"1,693","1,644","2,023","2,068","2,997","2,433","3,132","1,879","1,613","2,152","1,902","1,787","1,809"
Operating Profit,130,134,210,516,354,460,353,279,292,308,267,170,165
OPM %,7%,8%,9%,20%,11%,16%,10%,13%,15%,12%,12%,9%,8%
Other Income+,21,17,35,25,27,18,31,96,10,11,27,18,22
Interest,159,150,159,167,122,90,101,39,50,44,43,50,50
Depreciation,76,55,55,54,58,70,76,51,50,52,59,62,62
Profit before tax,-84,-54,31,320,203,317,207,284,202,223,192,75,74
Tax %,-7%,-76%,18%,28%,25%,21%,-4%,19%,29%,29%,30%,30%,
Net Profit+,-78,-13,26,230,151,251,216,229,144,158,135,52,52
EPS in Rs,-13.70,-2.19,4.30,34.42,22.85,37.81,32.61,34.52,21.69,23.72,20.54,7.98,7.88
Dividend Payout %,0%,0%,0%,17%,13%,17%,18%,17%,28%,25%,0%,0%,
