Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,717,881,932,976,"1,138","1,081","1,139","1,242","1,462","2,071","2,654","3,106","3,777"
Expenses+,574,709,727,744,899,836,853,945,"1,131","1,671","2,208","2,551","3,133"
Operating Profit,143,171,205,232,239,245,286,298,331,400,445,555,644
OPM %,20%,19%,22%,24%,21%,23%,25%,24%,23%,19%,17%,18%,17%
Other Income+,3,3,1,1,5,3,4,3,4,3,6,8,10
Interest,17,14,11,11,8,8,18,17,16,34,78,113,131
Depreciation,29,27,28,33,34,32,47,49,57,64,98,98,124
Profit before tax,100,134,167,189,202,209,225,235,261,305,276,352,399
Tax %,35%,30%,27%,29%,27%,26%,26%,22%,22%,7%,9%,12%,
Net Profit+,64,94,122,135,148,155,166,182,204,284,250,310,338
EPS in Rs,4.84,7.06,9.18,10.12,11.14,11.64,12.47,13.70,15.36,21.35,18.73,23.24,25.33
Dividend Payout %,25%,21%,27%,25%,22%,30%,40%,29%,33%,21%,24%,22%,
