Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,94,73,90,306,429,405,268,143,155,66,99,126,141
Expenses+,56,46,62,204,307,303,248,127,122,59,86,129,145
Operating Profit,38,27,28,102,123,102,19,16,33,7,13,-3,-4
OPM %,40%,37%,31%,33%,29%,25%,7%,11%,21%,10%,13%,-2%,-3%
Other Income+,-0,-0,1,2,2,5,4,23,5,24,5,10,9
Interest,1,1,1,4,6,3,3,2,1,1,0,0,0
Depreciation,9,11,12,24,34,32,28,27,20,13,14,14,15
Profit before tax,28,15,16,76,85,72,-8,9,18,18,5,-8,-11
Tax %,7%,4%,26%,33%,36%,37%,14%,29%,31%,27%,77%,-27%,
Net Profit+,26,14,12,51,54,45,-9,6,12,13,1,-6,-9
EPS in Rs,46.98,25.72,20.64,82.58,85.61,71.35,-13.78,10.13,19.15,20.42,0.60,-9.60,-14.22
Dividend Payout %,4%,8%,10%,5%,9%,11%,-58%,79%,42%,39%,"1,343%",-84%,
