Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,76,104,165,175,228,320,307,358,457,"1,476","1,542","2,057","2,276"
Expenses+,72,97,153,179,205,300,296,347,443,"1,397","1,470","1,951","2,128"
Operating Profit,4,7,12,-4,23,20,11,11,14,79,73,106,148
OPM %,5%,7%,7%,-2%,10%,6%,3%,3%,3%,5%,5%,5%,6%
Other Income+,0,0,1,5,1,2,2,4,1,32,2,2,3
Interest,2,2,4,6,7,8,6,8,8,8,18,13,11
Depreciation,1,1,2,2,2,3,3,2,2,11,13,17,21
Profit before tax,2,4,8,-7,15,11,4,5,4,92,44,78,120
Tax %,29%,34%,37%,7%,20%,33%,33%,32%,33%,18%,28%,26%,
Net Profit+,1,3,5,-7,12,7,3,3,3,75,32,58,89
EPS in Rs,,0.73,1.22,-1.76,3.00,1.85,0.66,0.73,0.65,32.35,12.65,20.64,30.09
Dividend Payout %,71%,41%,25%,-7%,10%,19%,38%,34%,38%,8%,20%,17%,
