Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"7,583","7,315","6,898","7,689","8,272","10,368","8,723","9,102","11,983","14,645","15,002","14,693","15,313"
Expenses+,"6,712","6,384","5,782","6,557","7,535","9,256","7,737","7,796","10,910","13,347","12,911","13,094","13,712"
Operating Profit,871,931,"1,117","1,132",737,"1,112",986,"1,306","1,073","1,298","2,091","1,599","1,601"
OPM %,11%,13%,16%,15%,9%,11%,11%,14%,9%,9%,14%,11%,10%
Other Income+,-41,-30,11,135,135,-5,-76,81,40,-25,4,48,63
Interest,276,257,252,440,466,521,549,466,419,454,447,476,466
Depreciation,179,158,216,291,299,316,378,387,385,407,437,456,461
Profit before tax,374,486,660,535,107,270,-17,534,309,411,"1,211",713,736
Tax %,32%,33%,31%,29%,41%,35%,-989%,38%,35%,36%,33%,28%,
Net Profit+,263,330,467,381,63,171,141,331,201,263,806,509,541
EPS in Rs,12.81,14.53,20.60,16.55,2.91,7.16,6.12,12.97,8.53,10.66,30.16,18.07,19.53
Dividend Payout %,8%,10%,12%,15%,52%,21%,11%,15%,18%,19%,15%,17%,
