Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,378,834,"1,010","1,320","1,340","1,051","1,198","1,955"
Expenses+,206,449,567,738,766,645,822,"1,392"
Operating Profit,172,385,443,582,574,406,375,563
OPM %,45%,46%,44%,44%,43%,39%,31%,29%
Other Income+,1,66,68,133,46,62,58,32
Interest,3,23,12,9,13,7,12,26
Depreciation,12,24,32,39,48,55,77,137
Profit before tax,158,405,468,668,560,406,344,433
Tax %,31%,22%,23%,32%,27%,26%,23%,
Net Profit+,109,317,362,454,411,300,265,329
EPS in Rs,,12.45,14.23,17.83,16.16,11.80,10.52,12.50
Dividend Payout %,0%,20%,14%,28%,37%,0%,0%,
