Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,16.47,21.67,28.41,31.89,34.85,34.07,35.03,44.37,44.07
Expenses+,14.62,19.69,25.13,27.86,30.62,29.50,29.47,38.11,37.60
Operating Profit,1.85,1.98,3.28,4.03,4.23,4.57,5.56,6.26,6.47
OPM %,11.23%,9.14%,11.55%,12.64%,12.14%,13.41%,15.87%,14.11%,14.68%
Other Income+,0.00,0.00,0.02,0.00,0.29,0.60,0.06,0.02,0.02
Interest,0.46,0.01,0.50,0.95,1.29,1.92,1.34,0.18,0.16
Depreciation,0.06,0.10,0.13,0.10,0.08,0.05,0.04,0.03,0.02
Profit before tax,1.33,1.87,2.67,2.98,3.15,3.20,4.24,6.07,6.31
Tax %,27.82%,34.22%,26.59%,26.17%,26.98%,26.25%,25.47%,26.19%,
Net Profit+,0.95,1.23,1.97,2.20,2.31,2.35,3.15,4.48,4.66
EPS in Rs,,0.98,1.19,1.07,1.13,1.15,1.70,2.42,2.40
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
