Metric,Mar 2006,Mar 2007,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,16,23,78,105,154,224,249,227
Expenses+,14,18,56,78,108,143,157,162
Operating Profit,2,5,22,27,47,82,92,65
OPM %,12%,22%,29%,25%,30%,36%,37%,29%
Other Income+,0,0,1,1,0,1,2,2
Interest,1,1,2,2,5,4,3,4
Depreciation,1,1,3,4,6,8,12,15
Profit before tax,1,3,18,22,37,72,79,48
Tax %,10%,34%,17%,20%,27%,27%,29%,
Net Profit+,1,2,15,18,27,53,56,34
EPS in Rs,0.03,0.06,0.58,0.68,1.02,2.00,2.13,1.27
Dividend Payout %,0%,24%,11%,9%,6%,9%,9%,
