Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,161,211,271,344,419,578,686,328,705,"1,212","1,550","1,772","1,849"
Expenses+,154,198,252,319,377,525,614,334,649,"1,015","1,273","1,546","1,611"
Operating Profit,7,12,19,24,42,53,72,-6,56,197,278,225,238
OPM %,4%,6%,7%,7%,10%,9%,11%,-2%,8%,16%,18%,13%,13%
Other Income+,0,-1,1,0,1,1,1,3,-2,9,14,28,26
Interest,6,3,3,4,3,4,10,6,5,8,10,9,9
Depreciation,1,3,4,5,6,8,22,20,20,33,52,59,62
Profit before tax,1,6,12,16,34,41,40,-29,29,165,230,186,194
Tax %,78%,27%,35%,34%,36%,34%,24%,-28%,23%,24%,24%,23%,
Net Profit+,0,4,8,10,22,27,31,-21,22,125,176,143,149
EPS in Rs,0.04,1.06,1.87,2.45,4.84,6.09,6.86,-4.67,4.99,26.39,36.05,29.21,30.46
Dividend Payout %,0%,9%,6%,8%,5%,4%,0%,0%,8%,7%,11%,10%,
