Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,768","3,813","3,237","3,723","4,444","5,210","4,811","5,783","8,295","9,760","9,369","10,447","10,466"
Expenses+,"2,878","3,086","2,371","2,592","3,341","3,904","3,537","3,972","6,286","8,047","7,113","7,989","8,235"
Operating Profit,890,727,866,"1,131","1,103","1,306","1,274","1,811","2,009","1,712","2,256","2,458","2,232"
OPM %,24%,19%,27%,30%,25%,25%,26%,31%,24%,18%,24%,24%,21%
Other Income+,14,277,131,254,340,215,250,171,438,342,449,539,465
Interest,27,48,40,22,15,12,11,12,9,48,113,129,129
Depreciation,170,244,282,304,311,333,374,416,455,571,651,681,732
Profit before tax,706,713,674,"1,059","1,116","1,177","1,140","1,555","1,982","1,435","1,941","2,187","1,837"
Tax %,33%,34%,34%,32%,34%,34%,16%,24%,28%,26%,24%,24%,
Net Profit+,475,473,446,717,736,774,960,"1,178","1,435","1,057","1,471","1,655","1,380"
EPS in Rs,24.55,24.45,23.06,37.08,38.06,40.02,49.64,60.91,74.25,54.70,76.12,85.61,71.35
Dividend Payout %,4%,5%,12%,11%,21%,20%,40%,28%,38%,29%,21%,19%,
