Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,266,234,237,215,225,240,330,358,485,660,687,807,878
Expenses+,248,200,195,174,178,201,282,313,415,572,604,744,822
Operating Profit,17,34,42,41,47,39,48,45,70,88,83,63,56
OPM %,7%,15%,18%,19%,21%,16%,14%,12%,14%,13%,12%,8%,6%
Other Income+,30,11,5,2,1,8,6,4,26,-41,1,37,49
Interest,15,16,19,16,5,10,7,4,3,4,5,10,10
Depreciation,26,28,22,21,23,22,22,22,20,17,16,30,30
Profit before tax,6,1,6,5,19,15,24,24,74,26,63,61,66
Tax %,-57%,123%,31%,106%,47%,15%,20%,18%,17%,74%,27%,47%,
Net Profit+,9,-0,4,-0,10,12,19,19,61,7,46,32,40
EPS in Rs,2.00,0.00,0.83,-0.07,1.99,2.46,3.83,3.80,11.26,1.26,7.49,4.93,7.09
Dividend Payout %,0%,,0%,0%,0%,0%,13%,20%,9%,99%,20%,30%,
