Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,0,0,0,0,0,0,0,83,36,82,65,70
Expenses+,49,40,43,45,296,673,53,36,57,47,59,93,101
Operating Profit,-49,-40,-43,-45,-296,-673,-53,-36,25,-11,24,-28,-31
OPM %,,,,,,,,,31%,-31%,29%,-43%,-44%
Other Income+,75,75,69,62,54,54,28,17,6,10,7,6,7
Interest,0,0,0,0,1,4,21,32,30,24,31,22,22
Depreciation,9,9,7,5,15,15,2,2,15,2,5,4,3
Profit before tax,17,26,19,12,-258,-638,-48,-52,-14,-27,-5,-48,-49
Tax %,63%,32%,44%,47%,-2%,-29%,59%,-24%,7%,-39%,-153%,-17%,
Net Profit+,6,18,11,7,-253,-452,-77,-40,-14,-17,3,-40,-41
EPS in Rs,10.43,29.50,18.23,10.93,-421.60,-752.72,-127.82,-66.08,-24.15,-27.57,4.70,-67.03,-68.21
Dividend Payout %,10%,15%,15%,13%,0%,0%,0%,0%,0%,0%,0%,0%,
