Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,476","2,614","2,417","1,884","3,076","3,074","2,703","2,677","2,580"
Expenses+,"2,229","2,402","2,245","1,780","2,698","2,814","2,740","2,634","2,560"
Operating Profit,247,212,172,104,379,260,-37,43,20
OPM %,10%,8%,7%,6%,12%,8%,-1%,2%,1%
Other Income+,76,28,21,31,28,-10,16,22,18
Interest,59,57,46,38,50,58,65,63,65
Depreciation,107,101,101,96,121,127,117,111,110
Profit before tax,157,83,46,2,236,65,-204,-110,-137
Tax %,28%,29%,40%,276%,36%,43%,-33%,-38%,
Net Profit+,113,58,28,-4,150,37,-136,-68,-90
EPS in Rs,6.92,3.56,1.69,-0.22,9.17,2.28,-8.27,-4.18,-5.51
Dividend Payout %,19%,18%,18%,-134%,20%,44%,-12%,0%,
