Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,234,279,299,310,513,569,562,787,"1,574","1,847","1,429","1,626","1,914"
Expenses+,222,269,290,295,500,550,547,769,"1,543","1,812","1,399","1,589","1,851"
Operating Profit,12,10,9,14,13,19,15,19,30,35,30,37,64
OPM %,5%,3%,3%,5%,2%,3%,3%,2%,2%,2%,2%,2%,3%
Other Income+,7,7,7,2,12,1,1,0,1,1,45,6,6
Interest,8,8,8,6,4,8,10,8,12,15,13,17,26
Depreciation,7,6,6,5,4,4,5,6,6,6,7,7,7
Profit before tax,3,2,2,5,17,9,1,5,13,14,56,19,37
Tax %,2%,-20%,-14%,-3%,24%,26%,12%,33%,17%,30%,18%,25%,
Net Profit+,3,3,3,5,13,6,1,3,11,10,46,14,27
EPS in Rs,0.50,0.54,0.39,1.68,3.97,1.98,0.33,1.09,3.46,3.17,14.29,4.38,8.57
Dividend Payout %,61%,56%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
