Metric,Mar 201813m,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,149","2,187","2,645","2,428","2,300","2,453","2,345","1,995","1,863"
Expenses+,"1,153","2,178","2,587","2,420","2,275","2,448","2,354","2,038","1,914"
Operating Profit,-4,9,57,8,25,4,-9,-43,-51
OPM %,-0%,0%,2%,0%,1%,0%,-0%,-2%,-3%
Other Income+,9,28,32,53,76,32,23,104,87
Interest,4,7,82,91,97,115,148,164,162
Depreciation,15,25,138,134,126,132,132,143,139
Profit before tax,-14,4,-131,-164,-122,-211,-267,-247,-265
Tax %,-0%,43%,-0%,-0%,-0%,-0%,-0%,-0%,
Net Profit+,-14,2,-131,-164,-121,-210,-266,-246,-265
EPS in Rs,,0.27,-14.51,-18.18,-13.48,-23.34,-29.53,-27.33,-29.35
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
