Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,441","1,639","1,769","1,817","1,614","1,977","1,936","1,040","1,460","2,616","3,972","3,807","4,060"
Expenses+,762,877,978,961,830,975,963,539,725,"1,096","1,790","1,645","1,716"
Operating Profit,679,762,790,856,784,"1,001",973,501,735,"1,519","2,182","2,162","2,344"
OPM %,47%,47%,45%,47%,49%,51%,50%,48%,50%,58%,55%,57%,58%
Other Income+,47,-63,-11,39,50,125,60,86,74,721,126,163,151
Interest,345,396,443,424,349,351,348,348,295,341,396,403,384
Depreciation,105,168,177,195,198,204,208,209,186,228,270,327,356
Profit before tax,275,136,159,276,287,572,478,29,328,"1,671","1,643","1,595","1,755"
Tax %,33%,36%,48%,31%,26%,19%,26%,-16%,24%,12%,19%,18%,
Net Profit+,182,91,84,191,256,497,388,48,268,"1,478","1,333","1,307","1,405"
EPS in Rs,4.43,1.22,4.21,5.49,7.91,13.73,10.91,1.68,6.65,37.37,30.76,27.53,30.16
Dividend Payout %,25%,90%,26%,22%,16%,11%,0%,31%,18%,7%,8%,9%,
