Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,45,58,52,46,51,75,60,70,134,191,221,267,264
Expenses+,45,57,52,45,51,74,58,67,131,187,214,257,252
Operating Profit,-1,1,0,0,-0,1,1,3,3,5,7,10,12
OPM %,-1%,1%,1%,0%,-0%,1%,2%,4%,2%,2%,3%,4%,5%
Other Income+,3,1,2,2,2,2,1,1,2,2,2,2,0
Interest,0,0,0,0,0,1,0,1,1,1,2,2,3
Depreciation,2,2,2,1,1,1,1,1,1,1,1,1,1
Profit before tax,0,0,0,0,0,1,1,2,2,4,5,8,9
Tax %,55%,55%,36%,24%,20%,6%,43%,31%,2%,36%,25%,18%,
Net Profit+,0,0,0,0,0,1,0,1,2,3,4,7,7
EPS in Rs,0.10,0.13,0.21,0.24,0.27,0.46,0.30,0.93,1.69,1.85,2.79,4.65,4.87
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
