Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,755,716,603,691,741,882,841,886
Expenses+,578,568,518,567,623,792,760,806
Operating Profit,177,148,85,124,118,89,80,79
OPM %,23%,21%,14%,18%,16%,10%,10%,9%
Other Income+,33,38,49,79,42,68,68,78
Interest,2,2,1,0,1,2,2,4
Depreciation,28,27,17,17,18,27,28,35
Profit before tax,180,157,116,186,140,128,118,118
Tax %,32%,23%,20%,22%,24%,24%,22%,
Net Profit+,124,121,92,144,107,97,92,91
EPS in Rs,30.90,30.31,22.99,35.75,26.46,24.05,22.80,22.45
Dividend Payout %,0%,0%,0%,126%,38%,42%,44%,
