Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"1,504","1,545","1,483","1,336","1,297","1,348","1,510","1,872","2,038","2,320","2,928","3,597","4,050"
Interest,"1,125","1,189","1,159","1,023",912,908,918,931,885,986,"1,451","2,121","2,501"
Expenses+,442,555,643,589,644,859,656,911,748,873,"1,244","1,572","1,909"
Financing Profit,-63,-199,-319,-275,-259,-419,-64,30,405,461,233,-96,-359
Financing Margin %,-4%,-13%,-22%,-21%,-20%,-31%,-4%,2%,20%,20%,8%,-3%,-9%
Other Income+,117,127,105,281,125,136,222,303,247,316,584,972,"1,195"
Depreciation,7,11,14,15,16,17,24,41,38,43,56,76,0
Profit before tax,47,-82,-228,-9,-149,-300,134,293,614,734,761,800,836
Tax %,34%,-35%,-34%,-117%,-35%,-34%,90%,25%,25%,25%,26%,26%,
Net Profit+,31,-53,-150,2,-97,-197,13,218,458,547,567,594,621
EPS in Rs,7.40,-8.81,-20.88,0.19,-12.04,-22.98,0.73,12.59,26.43,31.55,32.67,34.23,35.80
Dividend Payout %,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
