Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,862,886,"1,267","2,048","3,154","3,787","3,571"
Expenses+,727,784,"1,138","1,856","2,951","3,463","3,226"
Operating Profit,135,102,129,192,203,323,345
OPM %,16%,11%,10%,9%,6%,9%,10%
Other Income+,13,18,18,44,56,47,68
Interest,15,10,11,26,41,58,60
Depreciation,19,23,25,31,51,75,78
Profit before tax,113,87,111,179,166,237,275
Tax %,19%,24%,31%,31%,25%,22%,
Net Profit+,92,69,79,123,124,184,214
EPS in Rs,"1,281.97",916.98,5.59,6.75,6.04,9.53,11.24
Dividend Payout %,0%,0%,0%,22%,25%,16%,
