Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,176,222,248,235,259,278,270,211,323,452,365,332,324
Expenses+,126,156,161,146,150,165,166,143,200,280,229,224,219
Operating Profit,50,66,86,89,109,113,104,69,122,172,136,108,106
OPM %,28%,30%,35%,38%,42%,40%,39%,32%,38%,38%,37%,33%,33%
Other Income+,1,1,1,11,11,17,17,8,12,22,44,48,51
Interest,3,1,1,1,1,1,1,0,4,7,6,5,5
Depreciation,7,10,9,12,14,16,16,12,14,22,22,18,19
Profit before tax,41,56,78,86,105,113,105,64,117,165,152,132,133
Tax %,27%,25%,25%,28%,30%,34%,19%,23%,25%,25%,16%,27%,
Net Profit+,30,42,59,62,73,74,84,50,87,123,128,97,98
EPS in Rs,2.83,3.76,5.29,5.60,6.62,6.67,7.59,4.47,7.87,11.08,11.51,8.70,8.85
Dividend Payout %,18%,17%,17%,18%,17%,18%,16%,34%,29%,45%,87%,86%,
