Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,780,"1,384","1,778","2,223","3,156","4,162","4,412"
Expenses+,281,939,"1,132","1,340","1,591","1,942","2,050"
Operating Profit,499,444,646,883,"1,565","2,220","2,361"
OPM %,64%,32%,36%,40%,50%,53%,54%
Other Income+,76,-565,638,8,3,14,21
Interest,200,246,278,396,620,822,916
Depreciation,15,50,71,89,136,94,102
Profit before tax,360,-417,935,406,812,"1,318","1,364"
Tax %,21%,14%,8%,25%,23%,25%,
Net Profit+,286,-475,857,305,625,985,"1,025"
EPS in Rs,,,,,177.10,274.13,285.05
Dividend Payout %,0%,0%,0%,0%,0%,53%,
