Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,221","1,359","1,550","1,680","1,889","2,066","2,121","2,437","2,866","2,873","2,982","3,439","3,513"
Expenses+,"1,136","1,268","1,374","1,484","1,672","1,855","1,821","2,073","2,550","2,575","2,678","3,187","3,230"
Operating Profit,85,91,176,196,217,211,300,364,315,298,304,252,283
OPM %,7%,7%,11%,12%,11%,10%,14%,15%,11%,10%,10%,7%,8%
Other Income+,0,11,16,23,21,28,28,50,79,86,136,159,81
Interest,19,16,12,11,9,10,13,18,17,21,69,121,121
Depreciation,30,28,29,30,35,40,59,73,81,90,116,183,191
Profit before tax,36,58,152,178,193,189,256,324,296,273,256,108,52
Tax %,23%,26%,31%,29%,31%,29%,24%,26%,26%,26%,24%,12%,
Net Profit+,28,43,105,126,134,134,194,240,219,201,184,97,57
EPS in Rs,8.57,13.13,32.22,12.86,13.70,13.70,19.82,24.36,22.27,20.39,16.78,8.84,5.20
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
