Metric,Sep 201318m,Mar 201518m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"21,388","24,153","12,924","8,723","5,514","3,352","3,298","3,848","7,310","6,989","5,510","3,709","3,690"
Expenses+,"16,462","19,111","15,620","10,048","19,038","3,482","3,436","3,652","6,745","7,068","5,458","3,797","3,731"
Operating Profit,"4,926","5,042","-2,696","-1,325","-13,524",-130,-138,196,564,-79,52,-89,-41
OPM %,23%,21%,-21%,-15%,-245%,-4%,-4%,5%,8%,-1%,1%,-2%,-1%
Other Income+,84,463,77,-65,211,"7,063","2,082","-3,865",45,65,19,203,278
Interest,"2,814","3,513","2,874","3,442","4,711","4,309",94,489,476,501,596,628,627
Depreciation,"1,418","1,522","1,063",561,545,550,542,295,342,365,325,298,286
Profit before tax,779,471,"-6,555","-5,393","-18,569","2,075","1,308","-4,454",-209,-880,-850,-811,-676
Tax %,62%,46%,-34%,-43%,0%,-0%,-0%,27%,-0%,0%,-0%,1%,
Net Profit+,297,258,"-4,357","-3,083","-18,580","2,076","1,310","-5,673",-209,-880,-847,-816,-681
EPS in Rs,2.15,1.88,-31.63,-22.39,-134.90,15.07,5.93,-11.43,-0.42,-1.77,-1.71,-1.64,-1.38
Dividend Payout %,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
