Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,14.56,5.68,0.57,0.28,0.31,0.22,0.18,2.27,0.14,0.12,0.14,0.13,0.14
Expenses+,22.25,6.56,56.18,4.99,1.18,9.60,6.29,2.95,1.53,1.70,1.64,1.27,1.49
Operating Profit,-7.69,-0.88,-55.61,-4.71,-0.87,-9.38,-6.11,-0.68,-1.39,-1.58,-1.50,-1.14,-1.35
OPM %,-52.82%,-15.49%,"-9,756.14%","-1,682.14%",-280.65%,"-4,263.64%","-3,394.44%",-29.96%,-992.86%,"-1,316.67%","-1,071.43%",-876.92%,-964.29%
Other Income+,0.43,0.92,1.24,0.68,0.29,26.40,0.30,5.61,2.64,17.40,19.41,5.98,6.79
Interest,6.36,6.59,-0.03,-0.40,0.07,0.00,0.03,0.02,0.03,0.00,0.00,0.03,0.00
Depreciation,0.37,0.91,0.47,0.46,0.44,0.44,0.42,0.38,0.28,0.14,0.08,0.06,0.05
Profit before tax,-13.99,-7.46,-54.81,-4.09,-1.09,16.58,-6.26,4.53,0.94,15.68,17.83,4.75,5.39
Tax %,-0.21%,-2.28%,-0.09%,-1.47%,-10.09%,-35.59%,-1.76%,85.87%,54.26%,1.40%,15.31%,-12.21%,
Net Profit+,-13.96,-7.29,-54.76,-3.89,-0.99,22.49,-6.15,0.64,0.43,15.46,15.10,5.33,5.97
EPS in Rs,-465.67,-243.00,"-1,825.33",-129.33,-34.67,749.67,-205.00,21.33,14.33,515.33,436.04,153.91,172.39
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
