Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,695,718,720,833,736,526,481,525,582,623,650,620,657
Expenses+,604,622,621,"1,112",638,471,431,456,573,630,607,691,728
Operating Profit,91,97,99,-279,98,55,50,70,10,-7,43,-71,-71
OPM %,13%,13%,14%,-33%,13%,10%,10%,13%,2%,-1%,7%,-11%,-11%
Other Income+,3,2,17,685,232,75,50,18,73,95,46,142,137
Interest,35,46,50,143,203,91,46,38,33,38,33,27,21
Depreciation,15,15,19,58,93,16,29,30,29,29,33,36,36
Profit before tax,44,37,47,205,34,23,25,20,21,21,22,9,10
Tax %,35%,34%,19%,11%,41%,30%,47%,-28%,28%,24%,22%,19%,
Net Profit+,29,25,38,182,20,16,13,26,15,16,17,7,8
EPS in Rs,0.29,0.25,0.39,1.80,0.20,0.17,0.14,0.27,0.16,0.16,0.18,0.07,0.08
Dividend Payout %,17%,20%,13%,3%,25%,30%,37%,19%,32%,31%,28%,69%,
