Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,138,158,193,175,217,293,297,238,276,293
Expenses+,122,136,167,151,189,264,263,217,248,261
Operating Profit,16,22,26,24,28,29,34,21,28,31
OPM %,11%,14%,13%,14%,13%,10%,12%,9%,10%,11%
Other Income+,6,3,1,4,6,7,2,8,5,5
Interest,3,2,2,2,2,1,1,2,2,2
Depreciation,4,4,5,6,6,6,6,6,7,7
Profit before tax,15,19,20,20,26,29,29,22,24,28
Tax %,29%,61%,26%,23%,30%,28%,28%,26%,28%,
Net Profit+,11,7,15,15,18,21,21,16,17,20
EPS in Rs,9.30,4.70,8.24,9.73,10.15,12.15,11.47,10.08,9.80,10.85
Dividend Payout %,0%,0%,18%,23%,20%,8%,9%,10%,10%,
