Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,458","1,901","2,539","4,488","6,061","7,586","7,740"
Expenses+,"2,355","1,846","2,428","4,366","5,790","7,249","7,359"
Operating Profit,103,55,111,123,271,337,381
OPM %,4%,3%,4%,3%,4%,4%,5%
Other Income+,17,15,31,52,7,34,47
Interest,43,37,35,35,46,43,50
Depreciation,27,27,22,22,23,35,40
Profit before tax,50,6,85,118,209,293,338
Tax %,46%,218%,18%,21%,26%,26%,
Net Profit+,27,-7,70,94,155,218,252
EPS in Rs,4.88,-1.32,10.43,13.46,13.15,16.08,18.59
Dividend Payout %,0%,0%,0%,0%,0%,0%,
