Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,184,213,278,312,391,530,461,570,696,681
Expenses+,166,191,213,213,218,316,332,394,436,431
Operating Profit,17,22,65,98,173,214,129,176,261,250
OPM %,9%,10%,23%,32%,44%,40%,28%,31%,37%,37%
Other Income+,7,9,8,11,5,8,9,11,10,10
Interest,12,11,10,7,4,4,3,5,2,2
Depreciation,5,5,5,6,7,10,12,16,20,22
Profit before tax,8,14,57,96,167,207,123,166,248,236
Tax %,30%,40%,31%,24%,26%,27%,27%,28%,24%,
Net Profit+,6,9,39,73,124,152,90,119,188,178
EPS in Rs,3.87,5.96,26.93,50.11,16.89,18.86,11.17,14.80,23.35,22.12
Dividend Payout %,0%,0%,0%,20%,3%,3%,5%,5%,4%,
