Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,692,675,755,"1,153","1,052",723,719,755
Expenses+,511,494,550,948,888,686,666,694
Operating Profit,181,181,205,205,164,37,53,61
OPM %,26%,27%,27%,18%,16%,5%,7%,8%
Other Income+,8,6,6,7,13,6,8,11
Interest,4,3,5,6,11,16,24,25
Depreciation,14,16,21,30,29,35,36,36
Profit before tax,171,168,185,176,137,-9,2,11
Tax %,29%,25%,29%,27%,25%,-3%,260%,
Net Profit+,121,126,131,128,103,-8,-3,5
EPS in Rs,103.65,51.00,42.19,41.72,32.45,-3.04,-1.34,1.78
Dividend Payout %,6%,11%,12%,8%,3%,0%,0%,
