Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,654","2,781","3,647","6,882","7,225","8,142","8,932","9,423"
Expenses+,"3,272","2,952","3,769","7,357","7,677","8,015","8,556","8,994"
Operating Profit,"-1,618",-171,-123,-475,-452,127,376,429
OPM %,-98%,-6%,-3%,-7%,-6%,2%,4%,5%
Other Income+,41,207,150,156,319,439,442,453
Interest,36,49,89,100,89,89,126,140
Depreciation,170,256,355,611,831,722,535,610
Profit before tax,"-1,783",-269,-416,"-1,029","-1,053",-244,157,132
Tax %,0%,0%,0%,-2%,-4%,2%,-3%,
Net Profit+,"-1,783",-269,-416,"-1,011","-1,008",-249,162,138
EPS in Rs,"-18,607.05","-2,758.26","-2,492.60",-15.75,-13.83,-3.38,2.17,1.86
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
