Metric,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,502","3,679","3,800","3,180","2,861","2,161","1,493",944,29,17,0,0,0
Expenses+,"1,682","2,385","2,652","2,212","2,034","2,072","1,604",998,99,89,9,10,9
Operating Profit,820,"1,294","1,148",968,826,89,-111,-54,-70,-71,-9,-10,-9
OPM %,33%,35%,30%,30%,29%,4%,-7%,-6%,-240%,-409%,,,
Other Income+,5,28,38,-493,27,"-3,826",56,"-2,523",195,-81,19,14,13
Interest,261,416,498,570,629,854,788,967,760,695,1,1,1
Depreciation,364,622,543,263,268,253,248,125,49,43,33,30,29
Profit before tax,200,284,146,-358,-44,"-4,844","-1,091","-3,669",-683,-891,-25,-26,-26
Tax %,-42%,14%,-26%,-147%,141%,-24%,-16%,-11%,4%,0%,"4,055%",0%,
Net Profit+,284,245,184,167,-106,"-3,657",-915,"-3,264",-713,-891,"-1,019",-26,-26
EPS in Rs,17.58,15.20,11.30,10.15,-6.40,-220.47,-55.15,-196.77,-42.95,-53.72,-61.41,-1.57,-1.55
Dividend Payout %,13%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
