Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,45,125,155,206,234,259,232,327,340,353,321,313
Expenses+,42,120,147,192,215,227,209,289,295,308,282,270
Operating Profit,3,5,8,14,19,32,23,38,45,45,39,43
OPM %,7%,4%,5%,7%,8%,13%,10%,12%,13%,13%,12%,14%
Other Income+,0,0,0,1,-2,1,7,3,-0,2,-2,-10
Interest,1,0,1,1,3,5,6,5,8,9,7,7
Depreciation,2,2,4,7,10,16,15,11,10,9,8,8
Profit before tax,0,2,3,6,4,13,8,25,28,28,22,18
Tax %,,17%,26%,35%,49%,24%,27%,26%,26%,26%,26%,
Net Profit+,0,2,3,4,2,10,6,18,20,21,17,14
EPS in Rs,0.65,3.92,5.04,3.91,1.97,9.34,5.81,17.47,19.48,19.85,15.78,13.15
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
