Metric,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,94,157,190,149,220,213,205,206,280,371,503,612,694
Expenses+,109,166,191,152,221,215,203,195,258,335,435,527,602
Operating Profit,-15,-9,-1,-3,-1,-2,2,11,22,36,68,85,92
OPM %,-16%,-6%,-0%,-2%,-1%,-1%,1%,5%,8%,10%,14%,14%,13%
Other Income+,11,17,13,2,5,1,5,3,2,3,7,16,17
Interest,12,6,2,3,2,2,2,3,7,8,12,11,2
Depreciation,3,5,5,5,5,5,5,5,5,5,5,4,5
Profit before tax,-19,-4,4,-9,-4,-8,0,6,12,26,57,86,103
Tax %,0%,0%,0%,24%,0%,0%,"-1,820%",1%,2%,0%,18%,26%,
Net Profit+,-19,-4,4,-11,-4,-8,2,6,12,26,47,64,77
EPS in Rs,-17.70,-3.52,3.79,-10.61,-3.47,-7.90,1.81,5.92,11.48,24.20,44.12,60.15,72.65
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
