Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,635.96","1,062.07","2,326.08",315.17,76.31,74.89,86.11,62.20,69.39,64.31,63.84,58.36,59.10
Expenses+,"2,609.79","1,097.80","2,282.10",271.21,58.77,58.87,64.66,37.71,112.41,39.69,42.80,39.70,40.27
Operating Profit,26.17,-35.73,43.98,43.96,17.54,16.02,21.45,24.49,-43.02,24.62,21.04,18.66,18.83
OPM %,0.99%,-3.36%,1.89%,13.95%,22.99%,21.39%,24.91%,39.37%,-62.00%,38.28%,32.96%,31.97%,31.86%
Other Income+,14.70,88.23,0.60,5.07,15.92,6.84,11.09,2.31,122.16,2.74,14.31,6.42,12.45
Interest,28.77,31.02,35.87,33.98,22.43,19.15,16.81,12.83,11.20,8.94,6.00,4.64,4.42
Depreciation,15.18,12.62,11.23,22.24,24.09,21.84,21.28,19.01,16.62,15.63,14.76,16.58,16.95
Profit before tax,-3.08,8.86,-2.52,-7.19,-13.06,-18.13,-5.55,-5.04,51.32,2.79,14.59,3.86,9.91
Tax %,-57.14%,66.59%,140.87%,-2.36%,-34.07%,-14.18%,11.89%,5.16%,27.57%,54.84%,3.91%,56.74%,
Net Profit+,0.97,3.01,-5.25,-7.02,-8.61,-15.56,-6.21,-5.30,37.18,1.26,14.02,1.67,8.04
EPS in Rs,0.05,0.15,-0.26,-0.34,-0.42,-0.76,-0.30,-0.26,1.81,0.06,0.62,0.07,0.33
Dividend Payout %,126.93%,40.90%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,
