Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,936","4,041","3,335","1,758","1,467",848,974,"1,069",598,397,400,476,462
Expenses+,"1,732","1,662","1,443",851,"2,053","4,369","8,340","2,018","1,580",528,556,304,284
Operating Profit,"2,204","2,379","1,892",907,-586,"-3,520","-7,365",-949,-982,-131,-156,172,178
OPM %,56%,59%,57%,52%,-40%,-415%,-756%,-89%,-164%,-33%,-39%,36%,38%
Other Income+,31,44,21,15,14,113,13,257,69,225,48,192,169
Interest,"1,141","1,091","1,038","1,090","1,282","1,137","1,203","1,106","1,097","1,110","1,092","1,110","1,117"
Depreciation,548,598,902,701,665,675,845,195,145,47,97,118,110
Profit before tax,546,734,-27,-870,"-2,518","-5,220","-9,401","-1,992","-2,154","-1,063","-1,297",-865,-880
Tax %,28%,26%,806%,20%,4%,1%,-5%,-1%,1%,3%,2%,3%,
Net Profit+,393,545,-241,"-1,041","-2,606","-5,273","-8,973","-1,973","-2,177","-1,091","-1,318",-889,-905
EPS in Rs,90.33,94.35,-41.30,-178.33,-446.58,-903.52,"-1,537.32",-337.96,-373.01,-186.88,-225.79,-152.38,-154.98
Dividend Payout %,4%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
