Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,89.90,109.81,133.37,173.47,158.90,210.44,202.81,149.33,10.63,23.84,24.86
Expenses+,85.91,101.51,122.81,155.85,149.94,202.89,194.06,156.15,13.07,28.36,28.41
Operating Profit,3.99,8.30,10.56,17.62,8.96,7.55,8.75,-6.82,-2.44,-4.52,-3.55
OPM %,4.44%,7.56%,7.92%,10.16%,5.64%,3.59%,4.31%,-4.57%,-22.95%,-18.96%,-14.28%
Other Income+,1.12,0.83,0.10,0.36,0.12,0.13,0.26,-11.52,0.77,1.13,0.93
Interest,2.02,2.42,2.51,4.06,3.63,3.31,1.81,1.56,0.17,0.05,0.04
Depreciation,0.28,1.05,0.90,4.21,5.39,4.55,3.86,3.18,0.21,0.11,0.12
Profit before tax,2.81,5.66,7.25,9.71,0.06,-0.18,3.34,-23.08,-2.05,-3.55,-2.78
Tax %,33.10%,33.04%,34.62%,35.12%,350.00%,-144.44%,7.78%,-26.78%,-25.37%,-21.41%,
Net Profit+,1.88,3.79,4.74,6.30,-0.15,0.08,3.10,-16.90,-1.53,-2.79,-2.34
EPS in Rs,20.89,7.02,4.27,5.68,-0.14,0.07,2.79,-15.22,-1.38,-2.51,-2.11
Dividend Payout %,0.00%,0.00%,7.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
