Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,829,"1,551","2,188","1,929","2,550","2,505"
Expenses+,567,"1,041","1,499","1,448","1,839","1,808"
Operating Profit,261,509,689,481,711,698
OPM %,32%,33%,31%,25%,28%,28%
Other Income+,2,4,8,7,16,22
Interest,29,44,66,73,53,62
Depreciation,74,86,109,124,133,141
Profit before tax,161,383,522,291,541,517
Tax %,37%,34%,32%,33%,34%,
Net Profit+,101,253,353,196,358,433
EPS in Rs,24.48,60.84,85.03,47.14,82.91,100.98
Dividend Payout %,0%,0%,6%,11%,7%,
