Metric,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2025,TTM
Sales+,490,666,538,484,441,509,"1,640","1,602"
Expenses+,417,576,466,426,412,458,"1,346","1,351"
Operating Profit,73,91,72,57,29,51,294,251
OPM %,15%,14%,13%,12%,7%,10%,18%,16%
Other Income+,10,13,13,15,14,19,18,23
Interest,6,4,3,2,1,1,2,1
Depreciation,12,12,11,13,19,19,29,29
Profit before tax,65,88,70,58,23,50,281,244
Tax %,33%,30%,34%,39%,26%,31%,25%,
Net Profit+,44,62,49,37,18,37,211,186
EPS in Rs,6.84,9.64,7.58,5.69,2.79,5.73,32.54,28.79
Dividend Payout %,35%,25%,32%,35%,36%,24%,31%,
