Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,82,85,71,70,59,55,64,62,64,122,184,208,255
Expenses+,75,77,64,64,51,47,56,58,59,109,159,175,215
Operating Profit,7,9,7,6,9,8,7,4,5,13,24,33,39
OPM %,9%,10%,10%,9%,15%,14%,12%,6%,8%,10%,13%,16%,15%
Other Income+,1,1,1,0,1,1,-0,-3,1,3,0,1,2
Interest,5,6,6,5,3,4,3,4,4,4,5,7,8
Depreciation,1,2,1,1,1,1,0,0,1,1,3,5,5
Profit before tax,2,1,0,0,5,4,4,-3,1,10,16,22,28
Tax %,38%,34%,35%,65%,36%,34%,27%,-25%,23%,27%,27%,26%,
Net Profit+,1,1,0,0,3,3,3,-2,1,8,11,16,21
EPS in Rs,0.28,0.23,0.10,0.05,0.89,0.25,0.15,-0.13,0.05,0.44,0.19,0.25,0.33
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,
