Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,2,7,6,13,162,351,876,"1,598","2,215"
Expenses+,2,4,5,6,138,267,669,"1,287","1,741"
Operating Profit,0,3,1,7,24,84,207,311,474
OPM %,25%,45%,15%,54%,15%,24%,24%,19%,21%
Other Income+,0,1,1,2,8,2,4,11,14
Interest,0,2,3,4,7,5,7,15,15
Depreciation,0,1,1,2,4,3,6,6,8
Profit before tax,0,1,-3,3,21,77,198,300,465
Tax %,79%,334%,26%,170%,58%,28%,27%,24%,
Net Profit+,0,-2,-3,-2,9,55,145,229,350
EPS in Rs,0.02,-0.38,-0.31,-0.23,0.85,5.32,13.95,21.98,33.58
Dividend Payout %,0%,0%,0%,0%,12%,4%,7%,5%,
