Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,14.25,13.23,15.82,19.30,17.23,17.89,7.56,15.32,15.72,11.71,14.62,15.41,14.83
Expenses+,15.13,13.48,15.60,17.40,14.93,15.45,13.44,15.08,13.41,15.24,11.38,14.28,14.55
Operating Profit,-0.88,-0.25,0.22,1.90,2.30,2.44,-5.88,0.24,2.31,-3.53,3.24,1.13,0.28
OPM %,-6.18%,-1.89%,1.39%,9.84%,13.35%,13.64%,-77.78%,1.57%,14.69%,-30.15%,22.16%,7.33%,1.89%
Other Income+,0.61,0.98,0.45,0.53,0.37,0.80,0.56,0.86,0.84,0.32,2.76,-1.77,0.74
Interest,0.52,0.37,0.72,0.73,0.94,2.30,2.74,3.37,4.72,5.60,4.73,3.63,3.65
Depreciation,0.51,0.52,0.41,0.34,0.86,0.45,0.66,0.59,0.57,0.49,0.47,0.50,0.54
Profit before tax,-1.30,-0.16,-0.46,1.36,0.87,0.49,-8.72,-2.86,-2.14,-9.30,0.80,-4.77,-3.17
Tax %,0.00%,37.50%,0.00%,10.29%,5.75%,8.16%,-1.49%,-1.75%,0.00%,-0.11%,-1.25%,13.42%,
Net Profit+,-1.30,-0.22,-0.46,1.22,0.82,0.45,-8.59,-2.80,-2.15,-9.29,0.80,-5.41,-3.83
EPS in Rs,-0.27,-0.04,-0.09,0.25,0.17,0.06,-1.35,-0.64,-0.47,-1.84,0.12,-0.94,-0.71
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
