Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"4,311","4,050","3,447","3,469","3,873","4,425","3,703","4,995","5,794","5,047","5,606","5,296"
Expenses+,"3,396","2,688","2,667","2,793","3,160","3,283","2,544","3,465","4,237","3,624","3,841","3,678"
Operating Profit,916,"1,362",780,677,713,"1,143","1,159","1,530","1,557","1,423","1,765","1,617"
OPM %,21%,34%,23%,20%,18%,26%,31%,31%,27%,28%,31%,31%
Other Income+,395,193,185,196,292,277,204,175,184,283,225,402
Interest,239,195,174,180,362,367,22,161,185,171,187,181
Depreciation,801,542,566,610,658,671,628,635,753,889,951,"1,003"
Profit before tax,270,818,226,82,-16,382,713,909,803,645,852,835
Tax %,28%,4%,19%,-273%,304%,12%,2%,5%,-8%,-5%,1%,
Net Profit+,195,782,182,306,-63,336,696,865,870,679,844,804
EPS in Rs,4.19,16.78,3.92,6.58,-1.35,7.22,14.94,18.57,18.68,14.58,18.11,17.25
Dividend Payout %,0%,0%,0%,0%,0%,10%,2%,2%,2%,3%,36%,
