Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,306,395,452,346,355,584,684,726,806,867
Expenses+,254,334,385,296,312,504,615,665,722,771
Operating Profit,52,61,67,50,43,80,69,61,84,95
OPM %,17%,15%,15%,15%,12%,14%,10%,8%,10%,11%
Other Income+,2,2,2,3,7,7,8,11,11,11
Interest,3,3,4,2,1,2,2,2,2,3
Depreciation,5,8,10,11,13,14,19,22,23,23
Profit before tax,46,52,56,40,36,71,56,48,70,80
Tax %,34%,30%,27%,11%,20%,22%,33%,23%,16%,
Net Profit+,30,37,41,36,29,56,37,37,59,67
EPS in Rs,10.00,12.09,13.30,11.58,9.26,18.01,11.77,11.72,18.13,20.63
Dividend Payout %,15%,0%,11%,0%,11%,11%,13%,13%,11%,
