Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,299,276,268,245,220,276,406,670,608,477,481
Expenses+,261,246,240,225,208,235,351,596,547,427,457
Operating Profit,38,30,28,21,12,41,55,74,61,50,24
OPM %,13%,11%,10%,8%,6%,15%,14%,11%,10%,10%,5%
Other Income+,4,2,3,20,3,3,2,3,9,22,24
Interest,2,2,1,2,1,3,3,9,10,11,12
Depreciation,9,7,8,7,8,10,11,14,16,21,25
Profit before tax,31,23,21,31,6,32,44,54,44,40,12
Tax %,29%,11%,6%,21%,-19%,22%,30%,31%,24%,19%,
Net Profit+,22,20,20,24,7,25,30,38,34,32,11
EPS in Rs,7.03,6.40,6.27,7.64,2.32,7.70,9.43,11.16,9.67,9.21,3.02
Dividend Payout %,32%,31%,32%,0%,65%,32%,32%,31%,36%,27%,
