Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,608","1,729","1,691","1,059","2,505","3,931","4,563","5,406","7,028","7,513"
Expenses+,"1,467","1,616","1,535",965,"2,101","2,986","3,322","3,914","5,180","5,529"
Operating Profit,141,113,156,94,404,946,"1,241","1,492","1,849","1,984"
OPM %,9%,7%,9%,9%,16%,24%,27%,28%,26%,26%
Other Income+,59,65,56,48,-119,115,139,178,82,84
Interest,100,99,101,83,179,101,84,60,165,196
Depreciation,96,94,103,46,174,221,232,245,359,387
Profit before tax,5,-15,8,13,-69,739,"1,064","1,365","1,406","1,485"
Tax %,-236%,65%,102%,-1%,67%,18%,-4%,23%,24%,
Net Profit+,16,-25,-0,59,-138,605,"1,104","1,058","1,076","1,148"
EPS in Rs,0.29,-0.47,-0.06,1.10,-1.42,6.24,11.37,10.88,11.07,11.81
Dividend Payout %,0%,0%,0%,0%,0%,0%,9%,14%,14%,
