Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,84,78,84,113,125,147,163,129,206,202,230,349,365
Expenses+,78,73,78,104,112,130,145,118,185,186,211,320,335
Operating Profit,5,5,6,9,12,17,18,11,21,16,19,29,30
OPM %,6%,6%,7%,8%,10%,12%,11%,9%,10%,8%,8%,8%,8%
Other Income+,0,1,0,0,0,0,0,1,1,0,0,1,1
Interest,4,3,3,3,3,4,5,3,5,4,4,5,5
Depreciation,0,1,1,1,1,1,1,1,2,2,2,3,3
Profit before tax,1,2,2,5,9,12,12,7,15,10,14,21,23
Tax %,39%,35%,36%,35%,34%,29%,25%,26%,27%,25%,25%,26%,
Net Profit+,1,1,1,3,6,9,9,5,11,8,10,16,17
EPS in Rs,3.67,4.71,1.29,3.03,4.87,6.55,6.81,4.03,8.33,5.79,7.60,11.80,12.81
Dividend Payout %,-0%,-0%,-0%,-0%,9%,13%,15%,20%,20%,10%,11%,17%,
