Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,239,222,293,329,391,420,444,502,529,541,624,637,668
Expenses+,189,131,155,177,226,236,241,269,327,382,418,441,469
Operating Profit,50,91,138,152,165,184,203,233,203,158,206,196,200
OPM %,21%,41%,47%,46%,42%,44%,46%,46%,38%,29%,33%,31%,30%
Other Income+,1,1,-3,3,1,5,6,9,6,21,21,33,35
Interest,13,9,8,4,9,5,4,3,3,3,4,5,3
Depreciation,10,9,9,13,18,21,26,29,35,35,35,37,38
Profit before tax,28,74,118,137,139,162,179,210,171,140,188,187,194
Tax %,23%,31%,35%,32%,33%,28%,26%,28%,28%,26%,27%,28%,
Net Profit+,21,51,77,93,94,116,133,151,124,104,137,134,139
EPS in Rs,1.85,4.60,6.97,8.20,8.07,9.95,11.58,13.06,10.70,9.45,11.92,11.72,12.25
Dividend Payout %,6%,4%,3%,5%,6%,6%,5%,7%,9%,11%,43%,44%,
