Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,348","1,588","1,641","1,818","2,024","2,280","2,317","2,130","3,027","3,647","3,886","4,528","4,692"
Expenses+,"1,188","1,333","1,351","1,506","1,692","1,975","2,037","1,795","2,495","3,064","3,365","4,041","4,188"
Operating Profit,159,256,290,313,332,305,280,336,532,583,521,487,504
OPM %,12%,16%,18%,17%,16%,13%,12%,16%,18%,16%,13%,11%,11%
Other Income+,3,18,6,22,7,3,13,6,21,23,44,-4,4
Interest,60,46,48,30,36,47,39,13,11,17,31,69,76
Depreciation,39,48,47,59,91,59,76,69,74,78,95,137,140
Profit before tax,63,180,200,245,212,202,177,260,468,512,439,277,291
Tax %,-1%,16%,15%,21%,22%,26%,29%,26%,33%,26%,26%,33%,
Net Profit+,63,150,170,193,166,149,125,191,313,377,325,186,205
EPS in Rs,2.71,6.70,7.60,8.57,7.34,6.68,6.78,8.62,14.09,16.93,14.69,8.34,9.12
Dividend Payout %,37%,30%,13%,12%,14%,15%,15%,12%,11%,6%,7%,12%,
