Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,067","1,110","1,471","1,633","1,686","1,726","1,719"
Expenses+,994,"1,029","1,367","1,511","1,540","1,605","1,614"
Operating Profit,73,81,104,122,146,121,105
OPM %,7%,7%,7%,7%,9%,7%,6%
Other Income+,6,4,5,5,6,13,16
Interest,14,13,14,16,22,22,20
Depreciation,14,12,12,15,21,24,24
Profit before tax,52,60,83,96,108,88,77
Tax %,31%,26%,27%,26%,26%,26%,
Net Profit+,36,45,61,72,80,65,57
EPS in Rs,9.11,11.32,15.54,9.09,10.21,6.39,5.59
Dividend Payout %,0%,0%,0%,0%,0%,0%,
