Metric,Mar 2006,Mar 2007,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales+,12,14,55,123,182,192,154,114,105,103
Expenses+,12,13,18,39,108,66,81,110,87,66
Operating Profit,0,0,38,84,74,127,73,4,18,37
OPM %,2%,3%,68%,69%,40%,66%,47%,4%,17%,36%
Other Income+,1,0,6,2,0,-37,1,1,1,1
Interest,0,1,12,29,66,76,59,34,32,29
Depreciation,0,0,0,0,0,1,1,1,0,1
Profit before tax,0,0,31,57,8,13,14,-29,-14,9
Tax %,-18%,11%,35%,33%,82%,29%,69%,-20%,-27%,
Net Profit+,0,0,20,38,1,9,4,-24,-10,7
EPS in Rs,0.20,0.04,5.09,8.53,0.31,2.06,0.96,-5.32,-2.33,1.48
Dividend Payout %,0%,0%,11%,6%,6%,9%,0%,0%,0%,
