Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,395,443,606,684,848,"1,039","1,179","1,362","1,413","1,421","1,370","1,551","1,603"
Expenses+,389,425,550,641,765,914,"1,009","1,150","1,303","1,409","1,308","1,390","1,431"
Operating Profit,6,18,56,43,83,125,170,212,109,12,61,162,172
OPM %,2%,4%,9%,6%,10%,12%,14%,16%,8%,1%,4%,10%,11%
Other Income+,-54,48,14,9,436,9,10,-0,11,-58,-6,10,10
Interest,34,43,38,28,33,33,36,24,16,36,48,61,59
Depreciation,29,32,46,40,41,42,51,51,52,56,62,66,65
Profit before tax,-110,-8,-14,-17,444,59,94,137,53,-138,-55,44,58
Tax %,1%,40%,19%,-3%,3%,3%,13%,24%,15%,-11%,-46%,27%,
Net Profit+,-110,-12,-16,-16,431,57,82,104,45,-122,-30,32,41
EPS in Rs,-8.09,-0.70,-0.78,-0.57,17.30,1.97,2.81,3.84,1.65,-4.86,-1.44,0.87,1.18
Dividend Payout %,0%,0%,0%,0%,1%,10%,0%,13%,0%,0%,0%,0%,
