Metric,Mar 20149m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,32,48,36,55,114,267,106,103,132,143,190,166,158
Expenses+,34,52,34,47,79,147,77,80,117,122,149,123,123
Operating Profit,-2,-4,2,8,35,120,29,23,15,21,41,42,35
OPM %,-7%,-8%,5%,15%,31%,45%,27%,23%,11%,15%,22%,26%,22%
Other Income+,12,14,0,0,0,1,2,5,5,2,4,2,6
Interest,6,5,5,6,5,12,3,3,5,10,17,18,17
Depreciation,2,2,2,2,2,3,6,6,6,8,15,15,16
Profit before tax,1,3,-5,1,28,107,22,19,9,6,13,12,7
Tax %,148%,-35%,0%,0%,-11%,29%,34%,15%,30%,44%,68%,34%,
Net Profit+,-1,4,-5,1,31,76,15,16,6,3,4,8,5
EPS in Rs,-0.02,0.13,-0.16,0.02,0.97,2.38,0.46,0.50,0.20,0.10,0.12,0.23,0.15
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,47%,95%,91%,44%,
