Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"4,377","2,771","1,331",645,"1,163","1,380","3,281","4,878"
Expenses+,"4,321","2,675","1,250",554,"1,078","1,228","3,091","4,681"
Operating Profit,57,96,81,91,86,152,190,197
OPM %,1%,3%,6%,14%,7%,11%,6%,4%
Other Income+,0,1,0,2,0,0,2,4
Interest,17,53,31,26,10,52,59,55
Depreciation,2,1,1,1,1,1,1,1
Profit before tax,38,42,49,66,76,100,132,145
Tax %,6%,7%,7%,7%,7%,11%,18%,
Net Profit+,36,39,46,62,70,89,109,117
EPS in Rs,"35,330.00",112.89,9.04,12.25,12.92,16.30,20.15,21.72
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
