Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,9.79,14.04,10.10,10.96,16.34,21.69,32.74,36.35,34.08
Expenses+,9.65,13.71,10.12,10.46,13.81,20.40,32.26,34.74,34.06
Operating Profit,0.14,0.33,-0.02,0.50,2.53,1.29,0.48,1.61,0.02
OPM %,1.43%,2.35%,-0.20%,4.56%,15.48%,5.95%,1.47%,4.43%,0.06%
Other Income+,1.22,1.09,0.49,0.58,1.45,1.47,3.14,1.18,2.32
Interest,0.08,0.19,0.21,0.24,0.21,0.28,0.57,0.55,0.63
Depreciation,0.32,0.27,0.30,0.38,0.34,0.44,0.47,0.50,0.51
Profit before tax,0.96,0.96,-0.04,0.46,3.43,2.04,2.58,1.74,1.20
Tax %,20.83%,45.83%,400.00%,45.65%,18.08%,30.39%,49.22%,-59.20%,
Net Profit+,0.76,0.51,-0.19,0.26,2.80,1.42,1.32,2.76,2.35
EPS in Rs,0.34,0.16,-0.06,0.08,0.88,0.45,0.42,0.87,0.83
Dividend Payout %,0.00%,0.00%,0.00%,135.77%,18.91%,0.00%,0.00%,14.39%,
